episode,steps,reward,collisions,weather,avg_speed,lane_distance,lat,lon,accel_x,gyro_z
0,810,3079.11,1,Fog,5.89,1.63,0.001670,0.000534,-34.47,0.40
1,1000,-1591.33,0,Fog,4.02,5.89,0.000964,-0.000113,0.01,0.00
2,330,2188.75,1,Fog,26.40,1.00,0.001917,0.001652,-235.83,0.41
3,226,415.26,1,Fog,24.99,1.41,0.001037,0.000890,-8.37,0.13
4,1000,-3257.58,0,Fog,10.06,2.28,0.002109,0.001778,0.34,0.00
0,192,1669.44,1,Fog,20.35,1.13,0.001639,0.000612,-91.25,0.51
1,1000,4302.06,0,Fog,3.19,1.49,0.001550,0.001719,5.57,0.30
2,1000,1669.55,0,Fog,3.59,2.90,0.001633,0.001176,0.38,-0.00
0,1000,-8560.40,0,Fog,3.53,4.89,0.001778,0.000656,-0.18,-0.00
0,258,2324.37,1,Fog,22.65,1.55,0.001634,0.000447,0.23,-0.04
1,1000,-4203.47,0,Fog,5.09,2.23,0.002047,0.001771,0.34,-0.00
0,1000,12267.76,0,Fog,6.90,0.32,0.001665,0.000356,-0.21,-0.19
1,389,1605.24,1,Fog,24.96,1.02,0.002685,0.001610,-36.84,-0.28
